SK_ID_CURR,EXT_SOURCE_1,PAYMENT_RATE,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_BIRTH,AMT_ANNUITY,APPROVED_CNT_PAYMENT_MEAN,INSTAL_DPD_MEAN,AMT_CREDIT,OWN_CAR_AGE,INSTAL_AMT_PAYMENT_SUM,DAYS_EMPLOYED,DAYS_ID_PUBLISH,CODE_GENDER,AMT_GOODS_PRICE,ACTIVE_DAYS_CREDIT_MAX,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,PREV_CNT_PAYMENT_MEAN,ANNUITY_INCOME_PERC,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,PREV_APP_CREDIT_PERC_MIN,DAYS_EMPLOYED_PERC,INSTAL_PAYMENT_DIFF_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,INSTAL_AMT_PAYMENT_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,POS_MONTHS_BALANCE_SIZE,INSTAL_PAYMENT_PERC_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_MAX,PREV_NAME_YIELD_GROUP_low_action_MEAN,NAME_FAMILY_STATUS_Married,CLOSED_DAYS_CREDIT_MAX,APPROVED_AMT_DOWN_PAYMENT_MAX,INCOME_CREDIT_PERC,BURO_AMT_CREDIT_SUM_DEBT_MEAN,PREV_PRODUCT_COMBINATION_Cash_X_Sell_low_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,DAYS_LAST_PHONE_CHANGE,INSTAL_AMT_PAYMENT_MIN,POS_SK_DPD_DEF_MEAN,NAME_EDUCATION_TYPE_Higher_education,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,INSTAL_DBD_SUM,POS_NAME_CONTRACT_STATUS_Active_MEAN,APPROVED_DAYS_DECISION_MAX,CLOSED_AMT_CREDIT_SUM_MEAN,REGION_POPULATION_RELATIVE,CC_CNT_DRAWINGS_CURRENT_MEAN,BURO_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_AMT_CREDIT_SUM_SUM,BURO_CREDIT_TYPE_Mortgage_MEAN,DAYS_REGISTRATION,PREV_AMT_ANNUITY_MEAN,PREV_APP_CREDIT_PERC_MEAN,CLOSED_AMT_CREDIT_SUM_SUM,BURO_CREDIT_TYPE_Microloan_MEAN,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,NAME_CONTRACT_TYPE_Cash_loans,REGION_RATING_CLIENT_W_CITY,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,BURO_DAYS_CREDIT_MAX,PREV_NAME_YIELD_GROUP_high_MEAN,CLOSED_DAYS_CREDIT_VAR,BURO_AMT_CREDIT_SUM_MEAN,ACTIVE_AMT_CREDIT_SUM_MAX,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,FLAG_DOCUMENT_3,INSTAL_PAYMENT_PERC_SUM,BURO_AMT_CREDIT_SUM_MAX,APPROVED_AMT_ANNUITY_MEAN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,POS_MONTHS_BALANCE_MEAN,CC_CNT_DRAWINGS_CURRENT_VAR,INSTAL_DAYS_ENTRY_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,INSTAL_AMT_INSTALMENT_MAX,INSTAL_DBD_MAX,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_STATUS_0_MEAN_MEAN,INSTAL_PAYMENT_DIFF_SUM,PREV_AMT_DOWN_PAYMENT_MAX,AMT_REQ_CREDIT_BUREAU_QRT,CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,CLOSED_DAYS_CREDIT_UPDATE_MEAN,REFUSED_DAYS_DECISION_MAX,INSTAL_DBD_MEAN,PREV_AMT_ANNUITY_MIN,BURO_DAYS_CREDIT_MEAN,CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,DEF_30_CNT_SOCIAL_CIRCLE,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_DAYS_CREDIT_ENDDATE_MEAN,DEF_60_CNT_SOCIAL_CIRCLE,PREV_DAYS_DECISION_MEAN,PREV_PRODUCT_COMBINATION_Cash_Street_low_MEAN,ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,APPROVED_DAYS_DECISION_MIN,APPROVED_AMT_ANNUITY_MAX
180994,0.6976667,0.05271618,0.59758085,0.19406782,-10771.0,9.838602,,,355536.0,4.1743875,,8.086718,-3430.0,1.0,270000.0,5.7004437,,,0.08001194,-1188.0,0.0,,-0.30173615,,2408.0,,673.0,,,,,1.0,-319.0,,0.4903253,858166.5,,,-1964.0,,,0.0,2574499.5,,,,13.15158,0.031329,,2408.0,15.1205845,0.0,-4738.0,,,14.761016,0.0,,1.0,2.0,,5.7004437,,12.691521,13.452799,14.840821,-324.25,1.0,,14.840821,,450.0,,,,,,,,0.5555556,,,,0.0,0.0,5.9215784,,,,-984.2222,,0.0,-350.77777,172.14285,0.0,,,2574499.5,,
438574,,0.0574,0.46163425,0.66263777,-18572.0,9.466222,1.8458267,0.088107266,225000.0,,13.326491,8.111629,-2118.0,1.0,225000.0,,0.1541507,7.0,0.13409373,,,0.0,-0.17940986,0.0,,8.99588,,2.944439,0.6931472,1.7917595,0.0,0.0,-1164.0,8.936692,0.33647224,0.0,0.1541507,0.1541507,-719.0,3.7764323,0.0,0.0,,5.4424176,0.6649763,6.5792513,11.381999,0.030755,1.2527629,-859.0,,0.0,-2503.0,9.951918,0.5654658,12.480603,0.0,,1.0,2.0,-550.7632,7.0604763,0.0,13.5011015,11.381999,,,1.0,4.3438053,11.568843,9.47539,-859.0,,-49.944443,2.0848615,10.642062,2.8903718,12.32386,2.9957323,1.0,,0.0,8.936692,0.6931472,,6.8305144,-386.0,1.3928517,8.978023,-1707.0,10800000.0,0.0,-924.6667,-1392.0,0.0,-789.6667,0.0,,-2375.0,10.021315
381014,0.8471498,0.02528,0.71096987,0.6801388,-16389.0,10.437902,2.1972246,0.0,1350000.0,,11.400344,7.0715733,-4020.0,1.0,1350000.0,4.89784,,8.0,0.21607733,291.0,0.0,1.3072847,-0.07181646,0.0,1197.0,8.627923,744.0,2.944439,0.6931472,7.4518223,0.0,0.0,-589.0,9.7981825,0.099673375,15575.76,0.0,0.0,-3.0,8.220154,0.0,1.0,31151.52,5.043425,0.6359888,7.6285176,12.292156,0.015221,,1197.0,11.35349,0.0,-3016.0,8.912079,0.8691725,12.985301,0.0,0.0,1.0,2.0,-2050.875,4.89784,0.5,13.210399,11.7776375,11.35349,-299.0,0.0,2.8332133,12.793862,8.912079,-224.0,0.0,-67.666664,,10.398641,4.0253515,9.313519,3.3672957,0.5,,0.0,9.7981825,0.0,0.0,6.2643504,,2.3632097,8.230913,-736.5,,0.0,-411.75,90.0,0.0,-2359.5,0.0,62303.04,-2664.0,9.313519
201729,0.70674944,0.051241126,0.7049569,0.48485148,-14030.0,10.494547,2.5649493,0.9614112,704844.0,1.0986123,11.295182,6.9966817,-4513.0,1.0,630000.0,5.4071717,,12.0,0.14886819,144.0,0.0,1.0,-0.07783321,516.84576,144.0,8.730382,144.0,2.6390574,0.6539265,6.736967,0.0,0.0,-604.0,8.636752,0.2770403,52420.5,0.0,0.0,-1198.0,5.0998054,0.0,0.0,78630.75,4.6151204,0.6539265,7.089243,11.494147,0.035792,,144.0,12.274439,0.0,-6803.0,8.812842,0.69399,11.494147,0.0,0.0,1.0,2.0,-1018.46155,5.4071717,0.33333334,,11.553082,11.967187,-31.0,1.0,2.5649493,11.967187,8.812842,-147.0,0.0,-33.0,,9.491074,3.3322046,8.812842,2.5649493,0.33333334,0.875,6718.995,8.636752,0.0,0.0,6.2363696,,2.1624384,8.812842,-349.33334,,0.0,-190.66667,-1.5,0.0,-674.6667,0.0,157261.5,-1198.0,8.812842
250779,,0.0264399,0.66418797,0.7151031,-21269.0,10.951087,2.3978953,0.0,2156400.0,0.6931472,14.538518,8.324336,-4333.0,1.0,1800000.0,5.3082676,,10.0,0.1389432,-2618.0,8.812099,0.0,-0.19380319,-5693.2007,-1955.0,11.0420265,-2286.5,3.6888795,0.7686413,6.673298,0.0,1.0,-2686.0,10.837275,0.16329075,469627.2,0.22314355,0.0,-2351.0,10.458779,0.0,0.0,782712.0,6.6933236,0.6539265,7.021084,0.0,0.032561,0.0,31186.0,14.690081,0.0,-5991.0,10.479474,0.59564096,0.0,0.0,,1.0,1.0,-1257.909,5.3082676,0.25,5.4930615,13.080645,14.6103115,-1439.6666,1.0,3.668052,14.6103115,10.479474,31186.0,0.0,-48.333332,0.0,10.633738,3.295837,12.131779,4.26268,0.4,,-187875.62,10.837275,0.0,8.812099,7.037028,,3.2357032,9.105091,-2222.8,2520000.0,0.0,-1318.6,8871.0,0.0,-1923.25,0.0,2348136.0,-2873.0,11.059091
361238,,0.029433334,0.717118,,-21279.0,9.896891,3.218876,0.0,675000.0,,11.398926,8.272315,-4110.0,1.0,675000.0,,,24.0,0.19946544,,,0.8256396,-0.18389022,0.0,,8.354627,,3.1354942,0.6931472,5.3565865,0.6931472,1.0,,0.0,0.12516315,,0.0,0.0,-816.0,8.222839,0.0,0.0,,6.744059,0.6701576,6.705639,,0.026392,,,,,-3716.0,8.222839,0.6019304,,,,1.0,2.0,-525.381,,0.0,,,,,1.0,3.0910425,,8.222839,,,-16.5,,9.308737,1.9459101,9.598624,4.5108595,,,0.0,0.0,,,,,3.7228208,8.222839,,,0.0,,,0.0,-816.0,0.0,,-816.0,8.222839
278073,0.77780557,0.063905664,0.67143047,,-19570.0,10.730412,2.3978953,0.0,715500.0,,11.038849,8.84736,-3100.0,1.0,715500.0,,,10.0,0.27575973,,,1.1111715,-0.3553909,0.0,,8.736408,,2.4849067,0.6931472,7.8355794,0.0,1.0,,8.554358,0.18336922,,0.0,0.0,0.0,8.734656,0.0,0.0,,4.406719,0.6466271,7.9459095,,0.026392,,,,,-7602.0,8.736603,0.747243,,,,1.0,2.0,-2658.1,,1.0,,,,,1.0,2.3978953,,8.736603,,,-87.0,,10.187989,4.4188404,8.736603,2.6390574,,,0.0,8.554358,,,,,2.2082744,8.736603,,,0.0,,,0.0,-2823.0,0.0,,-2823.0,8.736603
292537,0.10008582,0.044524208,0.16804585,0.44183582,-8410.0,9.39287,2.5649493,0.0,269550.0,,12.479484,6.5944133,-738.0,0.0,225000.0,2.7080503,,12.0,0.09947262,351.0,0.0,0.9044682,-0.086801425,0.0,351.0,9.388521,351.0,3.1354942,0.6931472,2.0794415,0.4054651,0.0,-228.0,0.0,0.3546696,29791.5,0.0,0.0,0.0,9.209508,0.0,0.0,89374.5,5.888878,0.6701576,5.7170277,10.378277,0.008068,,351.0,11.400602,0.0,-3024.0,9.302991,0.66897446,11.071408,0.0,0.0,1.0,3.0,-316.9091,2.7080503,0.0,8.497296,10.844031,11.400602,-14.0,1.0,3.1354942,11.400602,9.302991,-45.0,0.0,-11.318182,,8.849801,1.0986123,10.295521,3.295837,0.6666667,,0.0,0.0,0.6931472,0.0,4.9272537,,2.8543782,9.209508,-189.66667,,0.0,-96.0,53.333332,0.0,-467.5,0.0,89374.5,-632.0,9.388477
170444,,0.07276,0.5803994,0.6561584,-23365.0,9.703328,3.2386785,0.82978153,225000.0,1.7917595,15.978541,0.0,-3996.0,1.0,225000.0,7.8853292,,24.4,0.09888818,-2273.0,0.0,0.8632597,-0.0,-5417.7495,-2273.0,10.780066,-2273.0,4.9698133,2.8776102,3.4965076,0.048790164,0.0,-137.0,10.71444,0.5306282,0.0,0.18232155,0.13976195,-179.0,0.27383664,0.074107975,0.0,,7.863267,0.66117287,6.2934194,12.731979,0.009175,,1097.0,11.813038,0.0,-84.0,10.288035,0.687608,14.341414,0.0,,1.0,2.0,-1241.652,4.9272537,0.2,13.897505,12.626422,11.813038,-2274.0,1.0,8.018522,13.710151,10.28387,1097.0,,-40.78322,,12.3227,1.0986123,14.012527,4.9972124,0.8333333,0.19347642,-980612.6,10.71444,0.0,0.0,6.6235337,-152.0,2.7317092,8.703391,-1214.6666,,0.0,-1005.3333,-617.6667,0.0,-1015.05,0.048790164,0.0,-2410.0,11.102604
433576,,0.02758179,0.66198474,0.4902575,-21863.0,10.660619,2.793208,1.6698697,1546020.0,1.9459101,13.132937,6.729824,-4619.0,0.0,1350000.0,,,15.333333,0.13608965,,,0.9238109,-0.03823812,2261.0044,,9.022182,,3.912023,0.5619549,5.971262,0.0,1.0,-1147.0,7.834194,0.173277,0.0,0.0,0.0,-2503.0,2.2082744,0.7233002,0.0,,5.874931,0.6620566,7.0184016,12.875879,0.02461,,-433.0,,0.0,-7294.0,9.026576,0.68496454,13.97449,0.0,,1.0,2.0,-1635.0328,7.0457764,0.25,13.311822,12.875879,,,1.0,3.8501475,13.921222,9.026576,-433.0,,-53.65306,,11.510302,2.6390574,9.792341,3.9512436,1.0,,137921.27,7.834194,0.0,,6.945051,,1.9198114,7.9774623,-2016.6666,,2.0,-1037.0,-1176.6666,1.0,-1919.25,0.0,,-2907.0,9.792341
